[root@openshift openshift]#
[root@openshift openshift]# oc get clusterserviceclass
NAME                                   EXTERNAL-NAME                                       BROKER                    AGE
91898375-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-xa                     template-service-broker   32m
918a913c-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-xml                    template-service-broker   33m
918b741a-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-cxf-jaxrs                    template-service-broker   33m
918c795e-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-cxf-jaxws                    template-service-broker   33m
918d8602-c2a3-11e9-a3dc-000c29aa8fab   sso72-https                                         template-service-broker   33m
918e9ecf-c2a3-11e9-a3dc-000c29aa8fab   sso72-mysql-persistent                              template-service-broker   33m
918fd685-c2a3-11e9-a3dc-000c29aa8fab   sso72-mysql                                         template-service-broker   33m
9190f499-c2a3-11e9-a3dc-000c29aa8fab   sso72-postgresql-persistent                         template-service-broker   33m
9192171d-c2a3-11e9-a3dc-000c29aa8fab   sso72-postgresql                                    template-service-broker   33m
91932982-c2a3-11e9-a3dc-000c29aa8fab   sso72-x509-https                                    template-service-broker   33m
91944e9e-c2a3-11e9-a3dc-000c29aa8fab   sso72-x509-mysql-persistent                         template-service-broker   32m
91957e8d-c2a3-11e9-a3dc-000c29aa8fab   sso72-x509-postgresql-persistent                    template-service-broker   33m
927ea718efcc5b039fa2a6cf368f0300       dh-unifi-controller-apb                             ansible-service-broker    3m
97a28db2f29cb90245d9cc58ba226273       dh-homeassistant-apb                                ansible-service-broker    3m
9f7da06f179b895a8ee5f9a3ce4af7ef       dh-hello-world-apb                                  ansible-service-broker    3m
a946a139a9308a59bf642ac52b4ba317       dh-wordpress-ha-apb                                 ansible-service-broker    3m
ab24ffd54da0aefdea5277e0edce8425       dh-hastebin-apb                                     ansible-service-broker    3m
aff6d7bb9c7f57c9ce8b742228e4caa3       dh-es-apb                                           ansible-service-broker    3m
b43a4272a6efcaaa3e0b9616324f1099       dh-hello-world-db-apb                               ansible-service-broker    3m
b95513950bb3f132de25d58fb75f8dca       dh-keycloak-apb                                     ansible-service-broker    3m
